coinc_event_id	simulation_id	far	snr	searched_area	searched_prob	offset	runtime
coinc_event:coinc_event_id:670630	sim_inspiral:simulation_id:9219	9.11069936486e-14	19.163169485	126.680884574	0.497369337925	59.7773441301	1043.44619703
coinc_event:coinc_event_id:675838	sim_inspiral:simulation_id:10393	9.11069936486e-14	15.5227766677	371.203842521	0.633630087021	28.0474763713	923.844490051
coinc_event:coinc_event_id:677300	sim_inspiral:simulation_id:10732	9.11069936486e-14	12.3827217685	616.238245033	0.728400521074	10.0619306804	945.947109938
coinc_event:coinc_event_id:677637	sim_inspiral:simulation_id:10807	9.11069936486e-14	15.0535099403	108.636071202	0.207552140115	160.716728908	650.971811056
coinc_event:coinc_event_id:678971	sim_inspiral:simulation_id:11108	9.11069936486e-14	13.1128111532	100.439844198	0.300159900502	5.76795576964	955.385887861
coinc_event:coinc_event_id:679162	sim_inspiral:simulation_id:11149	9.11069936486e-14	16.1645186152	421.168042338	0.874562630304	12.9364284536	1000.16570401
coinc_event:coinc_event_id:681374	sim_inspiral:simulation_id:11656	9.11069936486e-14	24.5940493797	385.052187667	0.871148187753	114.043296035	948.854604959
coinc_event:coinc_event_id:682043	sim_inspiral:simulation_id:11804	9.11069936486e-14	13.9841322124	725.044797757	0.754039503117	3.97671809758	668.353891134
coinc_event:coinc_event_id:683517	sim_inspiral:simulation_id:12146	9.11069936486e-14	21.1817387036	66.8287564999	0.514673134363	9.43915013091	986.771285057
coinc_event:coinc_event_id:684072	sim_inspiral:simulation_id:12270	9.11069936486e-14	19.608983519	352.398419283	0.79100844909	3.96491565178	945.997523785
coinc_event:coinc_event_id:686377	sim_inspiral:simulation_id:12776	9.11069936486e-14	15.4517330708	118.078124711	0.429293442241	7.37847899794	748.508347988
coinc_event:coinc_event_id:674852	sim_inspiral:simulation_id:10165	5.17695487734e-16	113.241186416	19.5357070641	1.0000000003	4.04999831492	2773.28714585
coinc_event:coinc_event_id:694948	sim_inspiral:simulation_id:14716	9.11069936486e-14	12.9128655091	44.7448424603	0.187267695474	11.976162498	1033.67237711
coinc_event:coinc_event_id:673140	sim_inspiral:simulation_id:9780	5.17695487734e-16	22.7623033133	10.828035495	0.954442546162	1.65106228989	2586.21867895
coinc_event:coinc_event_id:697741	sim_inspiral:simulation_id:15372	9.11069936486e-14	15.1849665708	136.752408317	0.330725455264	161.563346243	934.437653065
coinc_event:coinc_event_id:700110	sim_inspiral:simulation_id:15917	9.11069936486e-14	12.2727583347	524.401160699	0.592695763342	136.503943997	1025.01404285
coinc_event:coinc_event_id:698158	sim_inspiral:simulation_id:15473	9.11069936486e-14	17.8876110136	82.8802474646	0.274842864714	170.594449338	994.416339159
coinc_event:coinc_event_id:670462	sim_inspiral:simulation_id:9183	1.48118431213e-15	12.5118472117	10.7370573753	0.679388457465	1.89872468382	2318.302845
coinc_event:coinc_event_id:687478	sim_inspiral:simulation_id:13026	9.11069936486e-14	27.6294572587	140.706268223	0.843147418282	27.063770296	829.611001015
coinc_event:coinc_event_id:704598	sim_inspiral:simulation_id:16922	9.11069936486e-14	19.6532214223	90.6305997196	0.411719295484	7.23421937497	1013.86379409
coinc_event:coinc_event_id:707788	sim_inspiral:simulation_id:17648	9.11069936486e-14	14.5337537983	189.877073266	0.466695655428	36.1820283156	962.950721979
coinc_event:coinc_event_id:710471	sim_inspiral:simulation_id:18255	9.11069936486e-14	16.6835458159	36.1551965601	0.160421698376	18.2163647936	1047.43801713
coinc_event:coinc_event_id:711826	sim_inspiral:simulation_id:18562	9.11069936486e-14	12.2085568052	25.4017467308	0.0687700617345	0.955868971363	945.058392048
coinc_event:coinc_event_id:713495	sim_inspiral:simulation_id:18936	9.11069936486e-14	15.1673894305	171.294587402	0.439151056515	166.582861424	913.814507008
coinc_event:coinc_event_id:717202	sim_inspiral:simulation_id:19794	9.11069936486e-14	14.5981328513	940.467871349	0.887323754549	112.402330736	914.356224775
coinc_event:coinc_event_id:718612	sim_inspiral:simulation_id:20130	9.11069936486e-14	16.180645847	247.748992896	0.624474361237	61.9772674404	1030.71122098
coinc_event:coinc_event_id:718837	sim_inspiral:simulation_id:20179	9.11069936486e-14	19.5550628126	152.777671355	0.654467443874	35.2022883279	1054.61278987
coinc_event:coinc_event_id:719648	sim_inspiral:simulation_id:20365	9.11069936486e-14	12.7293500874	148.738570687	0.331199793023	154.624817344	955.74712491
coinc_event:coinc_event_id:715300	sim_inspiral:simulation_id:19364	5.17695487734e-16	14.1674812952	165.767051911	0.688946085854	135.153363849	2511.55119801
coinc_event:coinc_event_id:722313	sim_inspiral:simulation_id:20951	9.11069936486e-14	15.2342699474	658.202927294	0.859993721976	21.3782621923	955.268728971
coinc_event:coinc_event_id:712195	sim_inspiral:simulation_id:18637	5.17695487734e-16	32.2906965274	14.9433610737	0.556859557757	3.66633215463	2654.17627501
coinc_event:coinc_event_id:700679	sim_inspiral:simulation_id:16047	5.17695487734e-16	21.5129045943	13.8221172196	0.993721803647	2.18883652434	2047.60226583
